,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,linares,100,CL,1593558541,84,-35.85,-71.6,50.29,1.3
385,ornskoldsvik,100,SE,1593558541,71,63.29,18.72,53.6,17.22
386,bocaiuva,19,BR,1593558541,89,-17.11,-43.81,62.92,4.32
387,ust-kuyga,17,RU,1593558541,34,70.02,135.6,65.79,5.46
388,bandarbeyla,100,SO,1593558541,67,9.49,50.81,81.43,33.91
389,orchard homes,21,CA,1593558541,62,43.4,-79.79,81.0,4.43
390,makaha,75,US,1593558541,58,21.47,-158.22,87.01,9.17
391,russell,75,US,1593558541,88,32.35,-85.2,75.99,5.86
392,bodden town,89,GB,1593558542,94,51.2,-2.52,60.01,3.0
393,elat,0,IL,1593558542,35,29.56,34.95,86.0,13.87
394,acapulco,40,MX,1593558486,66,16.86,-99.89,87.8,5.82
395,shorewood,75,US,1593558542,62,41.52,-88.2,87.8,8.05
396,moree,0,AU,1593558542,75,-29.47,149.85,46.4,9.17
397,tombouctou,0,ML,1593558542,30,20.0,-3.0,91.29,8.97
398,waingapu,25,ID,1593558542,82,-9.66,120.26,73.78,7.85
399,hofn,88,IS,1593558542,78,64.25,-15.21,43.66,4.18
400,ilhabela,95,BR,1593558542,70,-23.78,-45.36,71.96,4.54
401,jinchang,61,CN,1593558543,43,38.5,102.17,70.03,6.06
402,nizhniy odes,0,RU,1593558543,88,45.39,39.24,71.01,2.24
403,tezu,99,IN,1593558543,80,27.92,96.17,75.83,2.53
404,corcoran,1,US,1593558543,21,36.1,-119.56,93.99,8.84
405,kaabong,92,UG,1593558543,55,3.48,34.15,67.66,2.13
406,mar del plata,76,ES,1593558543,82,43.4,-4.01,68.0,3.0
407,angoram,100,PG,1593558543,91,-4.06,144.07,77.85,1.77
408,kuching,20,MY,1593558543,100,1.55,110.33,75.2,4.03
409,tecoanapa,83,MX,1593558543,59,16.52,-98.75,86.83,8.16
410,minbu,100,MM,1593558543,75,20.18,94.88,80.98,7.9
411,lincoln,90,US,1593558242,62,40.8,-96.67,90.0,19.46
412,grand-bourg,40,GP,1593558544,83,15.88,-61.31,84.2,9.17
413,lakhdenpokhya,51,RU,1593558544,80,61.52,30.2,57.0,13.27
414,naron,31,ES,1593558544,93,43.52,-8.15,66.0,4.88
415,lorengau,98,PG,1593558544,68,-2.02,147.27,84.49,5.26
416,ginir,1,ET,1593558271,90,7.13,40.7,57.38,9.08
417,sakaiminato,75,JP,1593558544,94,35.55,133.23,68.0,13.87
418,calabar,98,NG,1593558544,96,4.95,8.32,70.92,1.03
419,luderitz,0,NA,1593558256,20,-26.65,15.16,66.2,3.36
420,ivanava,6,BY,1593558545,92,52.15,25.54,57.88,7.38
421,benguela,13,AO,1593558545,85,-12.58,13.41,67.17,0.72
422,rio de jesus,0,GR,1593558545,78,38.3,21.78,71.6,0.54
423,port-gentil,90,GA,1593558545,83,-0.72,8.78,75.2,10.29
424,talaya,0,RU,1593558545,37,61.38,152.75,57.02,17.81
425,ashqelon,75,IL,1593558545,83,31.67,34.57,73.4,5.82
426,nemuro,100,JP,1593558545,99,43.32,145.57,55.94,8.52
427,huilong,47,CN,1593558545,88,31.81,121.66,77.0,1.99
428,lasa,40,IT,1593558545,93,46.62,10.7,60.8,2.24
429,georgiyevka,20,KZ,1593558546,56,43.04,74.71,68.0,6.71
430,brae,99,GB,1593558546,76,60.4,-1.35,50.0,13.87
431,erenhot,6,CN,1593558272,48,43.65,111.98,71.33,4.74
432,alice springs,75,US,1593558546,66,27.75,-98.07,91.4,18.34
433,antalaha,2,MG,1593558546,85,-14.9,50.28,66.07,6.38
434,san buenaventura,66,ML,1593558524,47,13.3,-4.9,88.7,0.58
435,cairns,75,AU,1593558534,94,-16.92,145.77,71.6,9.17
436,moose factory,75,US,1593558546,66,43.66,-110.72,50.0,14.99
437,xudat,100,AZ,1593558546,47,41.63,48.68,71.33,1.19
438,vestmannaeyjar,98,IS,1593558547,79,63.44,-20.27,48.4,6.24
439,qaqortoq,75,GL,1593558393,61,60.72,-46.03,50.0,9.17
440,kulevcha,17,UA,1593558548,81,46.03,29.94,71.26,11.32
441,riyadh,1,SA,1593558478,25,24.69,46.72,87.8,4.85
442,sobolevo,31,RU,1593558548,93,54.43,31.9,55.98,6.31
443,ketchikan,75,US,1593558548,55,55.34,-131.65,64.4,12.75
444,merauke,70,ID,1593558390,76,-8.47,140.33,77.99,14.16
445,bratslav,0,UA,1593558548,92,48.82,28.94,59.0,6.42
446,bosobolo,98,CD,1593558548,97,4.18,19.9,68.95,1.86
447,baruun-urt,68,MN,1593558548,80,46.68,113.28,60.33,6.76
448,fukue,62,JP,1593558549,81,32.69,128.84,71.19,15.73
449,gayny,10,RU,1593558549,88,60.31,54.32,39.07,2.75
450,kuznechnoye,44,RU,1593558549,84,61.12,29.87,57.0,12.62
451,dumka,83,IN,1593558549,79,24.27,87.25,82.99,4.74
452,pangai,40,TO,1593558549,78,-19.8,-174.35,80.6,6.93
453,araouane,21,ML,1593558549,28,18.9,-3.53,93.47,10.18
454,sirari,65,TZ,1593558549,67,-1.23,34.43,61.72,3.69
455,husavik,0,IS,1593558549,71,66.04,-17.34,50.0,8.05
456,finschhafen,100,PG,1593558550,86,-6.6,147.87,76.96,7.29
457,palu,30,ID,1593558550,76,-0.89,119.87,76.19,2.77
458,saskylakh,62,RU,1593558550,35,71.92,114.08,80.49,7.2
459,salinas,1,US,1593558550,56,36.68,-121.66,79.0,12.75
460,meulaboh,100,ID,1593558550,88,4.14,96.13,76.5,3.8
461,samfya,25,ZM,1593558550,79,-11.36,29.56,61.12,10.47
462,durant,90,US,1593558297,52,33.99,-96.37,91.4,18.34
463,half moon bay,75,LR,1593558550,94,6.38,-10.7,77.0,6.78
464,korla,0,CN,1593558551,24,41.76,86.15,69.26,13.13
465,chifeng,92,CN,1593558551,68,42.27,118.96,68.7,2.35
466,pevek,100,RU,1593558551,93,69.7,170.31,35.02,15.75
467,kutum,42,SD,1593558551,56,14.2,24.67,75.83,9.91
468,lumeje,80,AO,1593558551,48,-11.55,20.78,57.97,5.95
469,sakakah,0,SA,1593558551,14,29.97,40.21,84.2,8.05
470,sola,85,VU,1593558551,79,-13.88,167.55,78.01,25.57
471,ilulissat,75,GL,1593558551,70,69.22,-51.1,44.6,5.82
472,medea,20,DZ,1593558551,24,36.26,2.75,89.6,3.36
473,kavaratti,100,IN,1593558551,75,10.57,72.64,83.3,17.31
474,deputatskiy,73,RU,1593558552,54,69.3,139.9,55.67,6.98
475,banyo,98,CM,1593558552,91,6.75,11.82,64.87,1.61
476,sibsagar,73,IN,1593558552,91,26.98,94.63,77.27,5.95
477,acari,75,PE,1593558552,68,-15.43,-74.62,64.02,5.79
478,price,20,US,1593558552,21,39.6,-110.81,71.6,12.75
479,papar,20,MY,1593558552,88,5.73,115.93,79.0,5.82
480,siparia,20,TT,1593558552,74,10.13,-61.5,82.4,8.05
481,cascais,63,PT,1593558553,89,38.7,-9.42,68.0,20.0
482,youghal,75,IE,1593558553,93,51.95,-7.85,57.0,12.75
483,belaya gora,1,UA,1593558553,70,49.03,25.77,64.99,4.0
484,pouembout,18,NC,1593558553,58,-21.13,164.9,70.23,12.12
485,padang,2,ID,1593558553,74,-0.95,100.35,76.17,5.28
486,homa bay,99,ET,1593558553,95,9.08,35.7,58.87,3.36
487,karratha,83,AU,1593558553,54,-20.74,116.85,69.13,3.96
488,onega,100,RU,1593558553,69,63.91,38.14,58.59,16.13
489,nago,75,JP,1593558553,83,26.59,127.98,84.2,17.22
490,sri aman,0,MA,1593558553,82,30.04,-8.8,68.0,3.36
491,white rock,1,US,1593558554,74,35.25,-91.73,90.0,5.82
492,dalvik,1,IS,1593558554,71,65.97,-18.53,50.0,8.05
493,saint-denis,90,FR,1593558554,68,48.92,2.33,69.8,12.75
494,pindushi,99,RU,1593558554,84,62.92,34.58,52.84,12.35
495,roma,20,US,1593558554,57,43.21,-75.46,78.8,11.41
496,hauzenberg,0,DE,1593558554,82,48.65,13.63,62.01,0.92
497,megion,94,RU,1593558554,93,61.03,76.11,50.0,2.24
498,astoria,90,US,1593558554,72,46.19,-123.83,60.8,12.75
499,northam,91,GB,1593558295,95,51.03,-4.22,57.99,10.0
500,kem,100,RU,1593558555,71,64.96,34.58,59.56,16.64
501,bud,1,US,1593558555,69,39.45,-86.18,82.0,8.05
502,havre,86,FR,1593558555,82,49.58,0.33,66.2,12.75
503,mitsamiouli,35,KM,1593558555,73,-11.38,43.28,77.65,18.9
504,ayan,77,RU,1593558555,73,56.45,138.17,54.5,8.08
505,yining,31,CN,1593558555,91,29.04,114.56,77.16,1.5
506,mildura,75,AU,1593558325,44,-34.2,142.15,46.99,4.7
507,kargil,43,IN,1593558555,47,34.57,76.1,53.42,5.68
508,amga,0,RU,1593558555,41,60.9,131.96,71.71,2.28
509,yeppoon,20,AU,1593558259,77,-23.13,150.73,62.6,8.05
510,brigantine,90,US,1593558555,65,39.41,-74.36,77.0,8.05
511,pineville,75,US,1593558556,70,31.32,-92.43,87.8,3.36
512,duluth,75,US,1593558512,88,46.78,-92.11,77.0,6.93
513,buritis,47,BR,1593558556,61,-15.62,-46.42,67.21,1.3
514,beyneu,2,KZ,1593558556,56,45.32,55.2,70.86,8.97
515,zholymbet,71,KZ,1593558556,86,51.74,71.71,59.52,1.05
516,preobrazheniye,100,RU,1593558556,68,42.9,133.91,62.53,9.93
517,salalah,75,OM,1593558264,89,17.02,54.09,84.2,8.05
518,kailua,75,US,1593558556,62,21.4,-157.74,87.8,13.87
519,saint-gilles,20,FR,1593558556,94,43.68,4.43,71.6,6.93
520,morada nova,1,US,1593558556,16,38.04,-121.25,95.0,9.17
521,gravdal,100,NO,1593558556,86,68.12,13.5,46.04,19.04
522,libertador general san martin,100,VE,1593558557,93,8.03,-62.42,74.01,4.27
523,westerland,95,DE,1593558557,77,54.91,8.3,59.0,20.8
524,marang,40,MY,1593558557,100,5.21,103.21,78.8,1.12
525,yantal,29,RU,1593558557,58,56.85,105.25,72.05,2.53
526,tual,88,ID,1593558557,82,-5.67,132.75,79.66,17.81
527,kaseda,20,JP,1593558557,94,31.42,130.32,69.8,2.24
528,beira,75,MZ,1593558557,83,-19.84,34.84,69.8,5.82
529,rudnogorsk,1,RU,1593558557,63,57.26,103.75,70.03,1.41
530,havoysund,75,NO,1593558558,93,71.0,24.66,41.0,25.28
531,xining,99,CN,1593558558,79,36.62,101.77,55.83,2.19
532,yar-sale,98,RU,1593558558,80,66.83,70.83,46.18,4.27
533,plouzane,100,FR,1593558558,93,48.38,-4.62,62.6,17.22
534,sunndalsora,75,NO,1593558558,76,62.68,8.55,50.0,20.8
535,springfield,81,US,1593558537,75,37.22,-93.3,86.0,4.0
536,sinop,0,TR,1593558558,72,41.77,34.87,63.19,3.42
537,kholodnyy,68,RU,1593558558,39,62.72,147.95,56.14,15.28
538,hadejia,35,NG,1593558558,48,12.45,10.04,86.45,9.64
539,matagami,1,CA,1593558558,35,49.75,-77.63,86.0,4.7
540,krasnoselkup,75,RU,1593558559,85,65.7,82.47,53.87,14.54
541,kualakapuas,5,ID,1593558559,97,-3.01,114.39,72.68,2.59
542,parang,35,PH,1593558559,87,7.37,124.27,76.8,2.84
543,mezoszilas,4,HU,1593558559,75,46.81,18.48,65.7,4.03
544,samarai,59,PG,1593558559,85,-10.62,150.67,78.73,17.94
545,nadym,95,RU,1593558559,90,65.53,72.52,46.71,7.36
546,tabas,0,IR,1593558559,16,33.6,56.92,87.8,4.7
547,fujin,0,CN,1593558316,77,47.26,132.03,69.89,6.46
548,verkhnyaya inta,100,RU,1593558559,69,60.98,40.21,56.5,13.69
549,sangar,13,RU,1593558560,48,63.92,127.47,71.94,5.03
550,hegang,0,CN,1593558560,70,47.4,130.37,71.06,4.54
551,miri,20,MY,1593558560,94,4.41,114.01,77.0,5.12
552,gamba,92,GA,1593558560,86,-2.65,10.0,70.47,2.8
553,tucuma,12,BR,1593558560,91,-0.18,-50.05,77.11,6.31
554,aksu,35,CN,1593558560,23,41.12,80.26,70.7,4.0
555,kununurra,19,AU,1593558560,26,-15.77,128.73,55.4,5.41
556,tiarei,75,PF,1593558560,54,-17.53,-149.33,82.4,4.7
